Name,Slot/Stapel,Count,Heizsystem,Kosten,BauEmissionen,SofortCO2,Strombedarf,Stromproduktion,Stromspeicher,Wärmeschutz,Wärmepumpen-Effizienz,Zufriedenheit,SofortBudget,REAL Kosten,REAL BauEmissionen,REAL Sofort CO2,REAL Strombedarf,REAL Stromproduktion,REAL Stromspeicher,REAL Wärmeschutz,REAL Wärmepumpen-Effizienz,Freitext,Voraussetzung Spalte,Voraussetzung Wert,Voraussetzung Wert NICHT,EffektLine,Beschreibung,description_en,card_id,label_en,Voraussetzungen Texte,Quelle,Page,,
Balkonkraftwerk,*Effizienz,1,,0,,0,0,1,0,,,,,,,,,5,,,,,,,,+1SP,"Ein Balkonkraftwerk hat nur maximal 800 Watt (etwa zwei Paneele), bietet aber den Vorteil einer einfacheren Installation und Bedienung.","Balcony Power Plant",balcony_pv,Balcony Power Plant,,,,,
Car Sharing,*Effizienz,1,,1,-1,0,0,0,0,,,,,,,,,,,,,,,,,-1EN,"Online-Plattformen ermöglichen das gemeinsame Nutzen von Fahrzeugen, wodurch Emissionen gespart werden können.","Car Sharing",car_sharing,Car Sharing,,,,,
E-Herd,*Effizienz,1,,1,-1,0,1,0,0,,,,,,-5,,5,,,,,,,,,"-1EN&nbsp;+1BM","Ein E-Herd ersetzt das Kochen mit Gas und reduziert damit die direkte Nutzung fossiler Energie in der Wohnung. Er erhöht den Strombedarf etwas, ist aber einfach umsetzbar und verbessert die Alltagstauglichkeit eines vollständig elektrifizierten Gebäudes.","Electric stove",electric_stove,Electric stove,,,,,
Fassadenintegrierte PV,*Effizienz,1,,3,,0,0,4,0,,,,,,,,,20,,,,"Voraussetzung: Keine Fassadenbegrünung",Name,,Fassadenbegrünung ,+4SP,"Fassaden-PV nutzt zusätzlich zur Dachfläche auch die Gebäudehülle zur Stromerzeugung. Sie ist teurer und stärker von Orientierung, Verschattung und Gestaltung abhängig, kann aber zusätzliche Emissionen einsparen, wenn das Dachpotenzial begrenzt ist.","Facade integrated PV",BIPV,Facade integrated PV,,,,,
LED Beleuchtung,*Effizienz,1,,1,,0,-1,0,0,,,,,,,,-5,,,,,,,,,-1BM,"LED-Beleuchtung ersetzt alte Leuchtmittel und senkt den Strombedarf für Beleuchtung deutlich. Sie ist günstig, einfach umzusetzen und verbessert je nach Bestand auch Lichtqualität und Nutzerzufriedenheit.","LED lighting",led_lighting,LED lighting,,,33,,
Wärmerückgewinnung des Duschwassers,*Effizienz,1,,1,,0,0,0,0,,1,,,,,,0,,,,1,"Voraussetzung: Wärmepumpe",Heizsystem,WP,,+1EF,"Die Wärme des abfließenden Duschwassers wird genutzt, um frisches Wasser vorzuwärmen. Dadurch müssen Wärmepumpen weniger leisten und arbeitet effizienter, der Einbau ist aber technisch nur bei passenden Leitungswegen sinnvoll.","Heat recovery from shower water",shower_water_heat_recovery,Heat recovery from shower water,Benötigt Wärmepumpe WP,,,,
Bi-Direktionelles Laden,*Flexibilität,1,,0,,0,-2,0,2,,,-1,,,,,-10,,10,,,"Voraussetzung: Private Ladestationen oder Hausweiter E-Car Port.",Name,Hausweiter E-Car Port,,"-2BM&nbsp;+2FL&nbsp;-1ZU","Ermöglicht die Lastverschiebung über den elektrischen Speicher der E-Auto-Batterie, der Abends wieder teilweise entladen wird. Die Unterstützung der Nutzer ist allerdings nötig.","Bidirectional charging",bidirectional_charging,Bidirectional charging,,,,,
Effiziente Haushaltsgeräte,*Flexibilität,1,,1,,0,-1,0,0,,,,,,,,-5,,,,,"Voraussetzung: Wärmepumpe",,,,-1BM,"Effizienteste Haushaltsgeräte können den Stromverbrauch deutlich reduzieren","Efficient appliances",efficient_appliances,Efficient appliances,,,,,
Flexibles Lastmanagement,*Flexibilität,1,,0,,0,1,0,4,,,-1,,,,,5,,20,,,,,,,"+1BM&nbsp;+4FL&nbsp;-1ZU","Wenn die Nutzer mitspielen, können Geräte wie Waschmaschinen oder Geschirrspüler dann einschalten, wenn Erneuerbare Energien zur Verfügung stehen.","Flexible load management",flexible_load_management,Flexible load management,,,,,
Flexibles Speichermanagement,*Flexibilität,1,,0,,0,0,0,0,,,,,,,,,,,,,"Effekt: Speicher kann jetzt vom Netz beladen werden. Bei der Wertung des Speichers wird die StromproduktionsVoraussetzung ignoriert.",,,,,"Ermöglicht es, die Batterie auch mit Netzstrom zu beladen, wenn er gerade günstig und CO2-frei ist.","Flexible battery charging",flexible_battery_charging,Flexible battery charging,Benötigt eine elektrische Batterie,,,,
