Name,Slot/Stapel,Count,Heizsystem,Kosten,BauEmissionen,SofortCO2,Strombedarf,Stromproduktion,Stromspeicher,Wärmeschutz,Wärmepumpen-Effizienz,Zufriedenheit,SofortBudget,REAL Kosten,REAL BauEmissionen,REAL Sofort CO2,REAL Strombedarf,REAL Stromproduktion,REAL Stromspeicher,REAL Wärmeschutz,REAL Wärmepumpen-Effizienz,Voraussetzung Spalte,Voraussetzung Wert,Voraussetzung Wert NICHT,EffektParsed,Beschreibung
Balkonkraftwerk,*Effizienz,1,,0,,0,0,1,0,,,,,,,,,5,,,,,,,SP,"Ein Balkonkraftwerk hat nur maximal 800 Watt (etwa zwei Paneele), bietet aber den Vorteil einer einfacheren Installation und Bedienung."
E-Herd,*Effizienz,1,,1,-4,0,1,0,0,,,,,,-5,,5,,,,,,,,EMEMEMEMXXBM,"Ein E-Herd ersetzt das Kochen mit Gas und reduziert damit die direkte Nutzung fossiler Energie in der Wohnung. Er erhöht den Strombedarf etwas, ist aber einfach umsetzbar und verbessert die Alltagstauglichkeit eines vollständig elektrifizierten Gebäudes."
Fassadenintegrierte PV,*Effizienz,1,,3,,0,0,4,0,,,,,,,,,20,,,,Name,,Fassadenbegrünung ,SPSPSPSP,"Fassaden-PV nutzt zusätzlich zur Dachfläche auch die Gebäudehülle zur Stromerzeugung. Sie ist teurer und stärker von Orientierung, Verschattung und Gestaltung abhängig, kann aber zusätzliche Emissionen einsparen, wenn das Dachpotenzial begrenzt ist."
LED Beleuchtung,*Effizienz,1,,1,,0,-1,0,0,,,,,,,,-5,,,,,,,,BP,"LED-Beleuchtung ersetzt alte Leuchtmittel und senkt den Strombedarf für Beleuchtung deutlich. Sie ist günstig, einfach umzusetzen und verbessert je nach Bestand auch Lichtqualität und Nutzerzufriedenheit."
Wärmerückgewinnung des Duschwassers,*Effizienz,1,,1,,0,0,0,0,,1,,,,,,0,,,,1,Heizsystem,WP,,EF,"Die Wärme des abfließenden Duschwassers wird genutzt, um frisches Wasser vorzuwärmen. Dadurch müssen Wärmepumpen weniger leisten und arbeitet effizienter, der Einbau ist aber technisch nur bei passenden Leitungswegen sinnvoll."
Bi-Direktionelles Laden,*Flexibilität,1,,0,,0,-2,0,4,,,-1,,,,,-10,,20,,,Name,E-Car Lade-Infrastruktur,,BPBPXXFLFLFLFLXXZM,"Ermöglicht die Lastverschiebung über den elektrischen Speicher der E-Auto-Batterie, der Abends wieder teilweise entladen wird. Die Unterstützung der Nutzer ist allerdings nötig."
Effiziente Haushaltsgeräte,*Flexibilität,1,,1,,0,-1,0,0,,,,,,,,-5,,,,,Heizsystem,WP,,BP,"Effizienteste Haushaltsgeräte können den dStromverbrauch deutlich reduzieren"
Flexibles Lastmanagement,*Flexibilität,1,,0,,0,1,0,4,,,-1,,,,,5,,20,,,,,,BMXXFLFLFLFLXXZM,"Wenn die Nutzer mitspielen, können Verbraucher wie Waschmaschinen oder Geschirrspüler dann einschalten, wenn Erneuerbare zur Verfügung stehen."
Grosser Batteriespeicher,*Flexibilität,1,,2,,0,0,0,5,,,,,,,,0,,25,,,Name,,Kleiner Heimspeicher,FLFLFLFLFL,"Batteriespeicher werden immer günstiger. Sie können den eigenen PV-Strom in  den Abend retten und vermeiden so dreckigeren Netzbezug."
Kleiner Heimspeicher,*Flexibilität,1,,1,,0,0,0,2,,,,,,,,,,10,,,Name,,Grosser Batteriespeicher,FLFL,"Batteriespeicher werden immer günstiger. Sie können den eigenen PV-Strom in  den Abend retten und vermeiden so dreckigeren Netzbezug."
Thermische Flexibilität,*Flexibilität,1,,0,,0,0,0,2,,,-1,,,,,,,10,,,Heizsystem,WP,,FLFLXXZM,"Wenn die Nutzer es zulassen, können Wärmepumpen zusätzlichen Strom im Gebäude als Wärme (oder im Sommer durch zusätzliche Kühlung)  speichern. So lassen sich noch mehr Erneuerbare einsetzen."
Balkon-Einbau,*Zufriedenheit,1,,1,,10,0,0,0,,,1,,,,10,,,,,,,,,ZU,"Ein Balkon erhöht die Wohnqualität und schafft privaten Freiraum im Bestand. Er bringt Zufriedenheit, verursacht aber zusätzliche Kosten und etwas graue Emissionen durch die neue Konstruktion."
Barrierefreier Zugang,*Zufriedenheit,1,,1,,0,0,0,0,,,1,,,,,,,,,,,,,ZU,"Ein barrierefreier Zugang macht das Gebäude für alle einfacher und sicherer nutzbar, besonders mit Kinderwagen, Rollstuhl oder Gehhilfe. Er erhöht die Nutzerzufriedenheit spürbar, verursacht aber je nach Bestand baulichen Aufwand und Kosten."
E-Car Lade-Infrastruktur,*Zufriedenheit,1,,1,,0,4,0,6,,,1,,,,,20,,30,,,,,,BMBMBMBMXXFLFLFLFLFLFLXXZU,"Ladepunkte machen das Gebäude attraktiver für Nutzer:innen mit E-Autos. Sie steigern den Strombedarf, können aber auch als flexible Speichermöglichkeit genutzt werden (in Kombination mit ""Bi-Direktionalem Laden"")."
Fassadenbegrünung ,*Zufriedenheit,1,,2,0,0,0,0,0,,,1,,,,,0,,,,,Name,,Fassadenintegrierte PV,ZU,"Begrünte Fassaden verbessern das Mikroklima, spenden Schatten und machen das Gebäude attraktiver. Sie erhöhen die Nutzerzufriedenheit leicht und helfen, Emissionen durch geringeren Kühlbedarf etwas zu senken."
Intensive Dachbegrünung,*Zufriedenheit,1,,2,-1,0,0,0,0,1,,,,,,,0,,,1,,,,,EMXXWS,"Substrat für grosse Pflanzen und Bäume. Bietet etwas Kohlenstoffspeicherung und Wärmeschutz, dafür aufwendiger in der Pflege."
Lift-Einbau,*Zufriedenheit,1,,2,,10,1,0,0,,,2,,,,10,5,,,,,,,,BMXXZUZU,"Ein Lift macht das Gebäude komfortabler und auch im Alter oder bei eingeschränkter Mobilität gut nutzbar. Er bringt viel Nutzerzufriedenheit, ist aber teuer und erfordert größere bauliche Eingriffe."
Außenliegender Sonnenschutz,*Zufriedenheit,1,,1,,0,0,0,0,,,1,,,,,,,,,1,,,,ZU,"Reduziert die Sonneneinstrahlung und damit die nötige Kühlenergie im Sommer."
Deckenheizung,Abgabe,1,,2,,0,0,0,0,,2,,,,,,0,,,,2,,,,EFEF,"Eine Deckenheizung gibt Wärme über große Flächen ab und ermöglicht niedrige Vorlauftemperaturen. Dadurch arbeiten Wärmepumpen effizienter, während Planung, Regelung und Nutzerakzeptanz gut gelöst werden müssen."
Fussbodenheizung,Abgabe,1,,3,,0,0,0,0,,2,1,,,,,0,,,,2,,,,EFEFXXZU,"Eine Fußbodenheizung gibt Wärme über große Flächen ab, ist komfortabel und ermöglicht niedrige Vorlauftemperaturen. Dadurch arbeiten Wärmepumpen effizienter, im Bestand sind aber Bodenaufbau, Bauaufwand und die eher träge Regelung zu beachten."
Niedertemperatur Radiator,Abgabe,1,,0,,0,0,0,0,,1,,,,,,0,,,,1,,,,EF,"Niedertemperatur-Radiatoren sind eine günstigere Alternative zu Flächenheizungen und lassen sich im Bestand meist einfacher nachrüsten. Sie ermöglichen niedrigere Vorlauftemperaturen und verbessern damit die Effizienz der Wärmepumpe, bieten aber weniger Komfort und Effizienzpotenzial als Fußboden- oder Deckenheizung."
Radiatoren mit Lüftern,Abgabe,1,,1,,0,0,0,0,,2,-1,,,,,0,,,,2,,,,EFEFXXZM,"Radiatoren mit Lüftern erhöhen die Wärmeabgabe und können auch bei niedrigeren Vorlauftemperaturen gut funktionieren. Sie sind einfach nachzurüsten, können aber durch Geräusche oder Luftbewegung als störend empfunden werden."
TestMassnahme,Abgabe,0,,999,,0,1,0,1,1,1,1,,,,,5,,5,1,1,,,,BMXXFLXXWSXXEFXXZU,"Eine Beschreibung hier einfügen, kurz halten oder sie wird abgeschnitten"
Wandheizung,Abgabe,1,,2,,0,0,0,0,,2,,,,,,0,,,,2,,,,EFEF,"Eine Wandheizung gibt Wärme über große Flächen ab, ist komfortabel und ermöglicht niedrige Vorlauftemperaturen. Dadurch arbeiten Wärmepumpen effizienter, im Bestand sind aber Einbauaufwand, freie Wandflächen und spätere Möblierung zu beachten."
Dachgärten,Dachnutzung,1,,2,-1,0,0,0,0,,,1,,,,,0,,,,,,,,EMXXZU,"Bepflanzte Grünflächen, die auf dem Dach eines Gebäudes angelegt wurden, um ökologische Vorteile und einen höheren Wohnkomfort zu bieten."
Grosse Dach-PV-Anlage,Dachnutzung,1,,3,,0,0,8,0,,,,,,,,,40,,,,,,,SPSPSPSPSPSPSPSP,"Eine große PV-Anlage nutzt die verfügbare Dachfläche konsequent und kann viel Emissionen einsparen. Damit der zusätzliche Strom gut genutzt wird, braucht sie meist Speicher oder flexible Verbraucher."
Kleine Dach-PV-Anlage,Dachnutzung,1,,1,,0,0,2,0,,,,,,,,,10,,,,,,,SPSP,"Eine kleine PV-Anlage ist die einfache Standardlösung und deckt vor allem den direkten Eigenverbrauch. Sie spart Emissionen ohne zusätzlichen Speicher, bleibt aber in ihrem Potenzial begrenzt."
Mittlere Dach-PV-Anlage,Dachnutzung,1,,2,,0,0,4,0,,,,,,,,,20,,,,,,,SPSPSPSP,"Eine mittlere PV-Anlage ist ein guter Kompromiss zwischen Aufwand, Kosten und Klimawirkung. Sie erzeugt mehr Strom als die kleine Variante und wird mit Speicher oder flexiblen Verbrauchern deutlich wirksamer."
PV Dachziegel,Dachnutzung,1,,2,,0,0,3,0,,,,,,,,,15,,,,,,,SPSPSP,"Lösung für denkmalgeschützte Dächer mit reduzierter Effizienz im Vergleich zu herkömmlichen Paneelen."
PV-Pergola,Dachnutzung,1,,3,,0,0,2,0,,,1,,,,,,10,,,,,,,SPSPXXZU,"Eine PV-Pergola ist eine überdachte Terrasse oder Freifläche, bei der die PV-Module zugleich Schatten spenden und Strom erzeugen. Sie ist aufwendig, erhöht aber die Aufenthaltsqualität und Nutzerzufriedenheit deutlich."
Thermische Solaranlage,Dachnutzung,1,,2,,0,0,0,0,1,,,,,,,0,,,1,,,,,WS,"Eine thermische Solaranlage nutzt Sonnenwärme für Warmwasser oder Heizungsunterstützung und reduziert so den Heizenergiebedarf. Früher war sie häufiger die Standardlösung am Dach, heute wird oft PV bevorzugt."
Ambitionierte Sanierung,Dämmung,1,,2,,30,0,0,0,4,,,,,,30,0,,,4,,,,,WSWSWSWS,"Die Gebäudehülle wird über den Mindeststandard hinaus verbessert. Dadurch sinkt der Heizwärmebedarf stärker, jedoch mit etwas höherem Material- und Investitionsaufwand."
Ambitionierte Sanierung ökologisch,Dämmung,1,,3,,-10,0,0,0,4,,,,,,-10,0,,,4,,,,,WSWSWSWS,"Die Gebäudehülle wird über den Mindeststandard hinaus mit ökologischen Dämmstoffen verbessert. Dadurch sinkt der Heizwärmebedarf stärker."
Dämmputze,Dämmung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,WS,"zu speziell"
Fossile Dämmstoffe,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,WSWS,"Mineralische oder synthetische Dämmstoffe. Hohe Umweltauswirkungen."
Fossile Dämmstoffe,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,WSWS,"Mineralische oder synthetische Dämmstoffe. Hohe Umweltauswirkungen."
Holzfaserdämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Holzfaserdämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Passivhaussanierung  konventionell,Dämmung,1,,3,,40,0,0,0,5,,,,,,40,0,,,5,,,,,WSWSWSWSWS,"Hochwertigster Wärmeschutz, luftdichte Gebäudehülle. Die verwendeten Baustoffe sind fossil und verursachen entsprechend höhere graue Energie."
Passivhaussanierung  ökologisch,Dämmung,1,,4,,-20,0,0,0,5,,,,,,-10,0,,,5,,,,,WSWSWSWSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
RENVELOPE,Dämmung,0,,999,,0,0,0,0,,,,,,,,0,,,,,,,,,""
Sanierung Glasfassade,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,WSWS,"zu speziell"
Schafwolldämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Schafwolldämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Standardsanierung,Dämmung,1,,1,,20,0,0,0,3,,,,,,20,0,,,3,,,,,WSWSWS,"Das Gebäude wird auf den gesetzlichen Mindestandard gebracht. Der Wärmeschutz verbessert sich, die eingesetzten Materialien sind fossil."
Standardsanierung ökologisch,Dämmung,1,,2,,5,0,0,0,3,,,,,,-2,0,,,3,,,,,WSWSWS,"Hochwertigster Wärmeschutz, luftdichte Gebäudehülle. Die verwendeten ökologischen Baustoffe reduzieren Emissionen."
Türen abdichten,Dämmung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,WS,"Schließen Sie die Spalten zwischen Tür und Türrahmen, um Energieverluste durch Luftströme zu vermeiden."
Türen tauschen,Dämmung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,WS,"Eine besser isolierte Tür reduziert die Transmissionsverluste."
Wärmedämmung mit Stuckelementen,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,WSWS,"zu speziell"
Zellulosedämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Zellulosedämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Fenstertausch: Holz-Alu,Fenster,1,,2,,10,0,0,0,1,,,,,,10,0,,,1,,,,,WS,"Holz-Alu-Fenster verbessern den Wärmeschutz, sind aber hochwertiger und langlebiger als Plastikfenster. Sie kosten auch mehr."
Fenstertausch: Passivhaus,Fenster,1,,2,,20,0,0,0,2,,,,,,20,0,,,2,,,,,WSWS,"Passivhausfenster bieten deutlich besseren Wärmeschutz und erhöhen den Wohnkomfort, besonders durch weniger Zugluft und wärmere Glasoberflächen. Sie sind teurer und verursachen durch die aufwendigere Konstruktion zusätzliche graue Emissionen."
Fenstertausch: Passivhaus ökologisch,Fenster,1,,3,,10,0,0,0,2,,,,,,10,0,,,2,,,,,WSWS,"Ökologische Passivhausfenster verbinden sehr guten Wärmeschutz mit möglichst klimafreundlichen Materialien. Sie sind die teuerste Variante, reduzieren aber die grauen Emissionen gegenüber konventionellen Passivhausfenstern deutlich."
Fenstertausch: Plastik,Fenster,1,,1,,30,0,0,0,1,,,,,,30,0,,,1,,,,,WS,"Kunststofffenster sind die günstige Standardlösung und verbessern den Wärmeschutz etwas. Sie verursachen geringe bis mittlere graue Emissionen, bleiben aber in Komfort und Klimawirkung begrenzt."
Tausch der Verglasung,Fenster,1,,1,,0,0,0,0,1,,,,,,,0,,,1,,,,,WS,"Beim Tausch der Verglasung bleiben die bestehenden Fensterrahmen erhalten, nur die Scheiben werden verbessert. Das ist günstiger und verursacht weniger Eingriff als ein kompletter Fenstertausch, bringt aber nur eine begrenzte Verbesserung des Wärmeschutzes."
Dezentrale Lüftungsgeräte,Lüftung,1,,1,,0,0,0,0,1,,,,,,,0,,,1,,,,,WS,"Dezentrale Lüftungsgeräte werden raumweise eingebaut und brauchen weniger Eingriffe in die bestehende Bausubstanz. Sie sind meist günstiger und einfacher nachzurüsten, bringen aber weniger Komfort und Energieeinsparung als eine gute zentrale Lösung."
Fensterfalzlüftung,Lüftung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,WS,"Durch das Anbringen von Lüftungsöffnungen an den Fenstern wird eine ausreichende Luftzirkulation gewährleistet, damit sich kein Schimmel bilden kann."
Lüftungs-Brüstungsgeräte,Lüftung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,WS,"Lüftungslösungen, die im Boden, an der Decke oder in der Brüstung (zwischen Boden und Fenster, wie ein Heizkörper) installiert werden können."
